ID,Token,,,,,,,,,,
Suffix_ability,Suffix_ability,Suffix_able,Suffix_ity,Last_Suffix_ity,,,,,,,
Suffix_able,Suffix_able,Last_Suffix_able,,,,,,,,,
Suffix_ableness,Suffix_ableness,Suffix_able,Suffix_ness,Last_Suffix_ness,,,,,,,
Suffix_ably,Suffix_ably,Suffix_able,Suffix_ly,Last_Suffix_ly,,,,,,,
Suffix_acies,Suffix_acies,Suffix_ies,Suffix_es,Suffix_s,Suffix_acy,Last_Suffix_acy,,,,,
Suffix_acity,Suffix_acity,Suffix_ity,Last_Suffix_ity,,,,,,,,
Suffix_acy,Suffix_acy,Last_Suffix_acy,,,,,,,,,
Suffix_ade,Suffix_ade,Last_Suffix_ade,,,,,,,,,
Suffix_age,Suffix_age,Last_Suffix_age,,,,,,,,,
Suffix_ages,Suffix_ages,Suffix_age,Suffix_s,Last_Suffix_s,,,,,,,
Suffix_al,Suffix_al,Last_Suffix_al,,,,,,,,,
Suffix_alism,Suffix_alism,Suffix_al,Suffix_ism,Last_Suffix_ism,,,,,,,
Suffix_alisms,Suffix_alisms,Suffix_al,Suffix_isms,Suffix_ism,Suffix_s,Last_Suffix_s,,,,,
Suffix_alist,Suffix_alist,Suffix_al,Suffix_ist,Last_Suffix_ist,,,,,,,
Suffix_alistic,Suffix_alistic,Suffix_al,Suffix_ist,Suffix_ic,Last_Suffix_ic,,,,,,
Suffix_alists,Suffix_alists,Suffix_al,Suffix_ist,Suffix_s,Last_Suffix_s,,,,,,
Suffix_alities,Suffix_alities,Suffix_al,Suffix_ality,Suffix_ity,Suffix_ities,Suffix_ies,Suffix_es,Suffix_s,Last_Suffix_s,,
Suffix_ality,Suffix_ality,Suffix_al,Suffix_ity,Last_Suffix_ity,,,,,,,
Suffix_alize,Suffix_alize,Suffix_al,Suffix_ize,Last_Suffix_ize,,,,,,,
Suffix_alizes,Suffix_alizes,Suffix_al,Suffix_ize,Suffix_s,Last_Suffix_s,,,,,,
Suffix_ally,Suffix_ally,Suffix_al,Suffix_ly,Last_Suffix_ly,,,,,,,
Suffix_alness,Suffix_alness,Suffix_al,Suffix_ness,Last_Suffix_ness,,,,,,,
Suffix_alty,Suffix_alty,Suffix_al,Suffix_ty,Last_Suffix_ty,,,,,,,
Suffix_an,Suffix_an,Last_Suffix_an,,,,,,,,,
Suffix_ance,Suffix_ance,Last_Suffix_ance,,,,,,,,,
Suffix_ances,Suffix_ances,Suffix_ance,Suffix_s,Last_Suffix_s,,,,,,,
Suffix_ans,Suffix_ans,Suffix_s,Last_Suffix_s,,,,,,,,
Suffix_ant,Suffix_ant,Last_Suffix_ant,,,,,,,,,
Suffix_ar,Suffix_ar,Last_Suffix_ar,,,,,,,,,
Suffix_ard,Suffix_ard,Last_Suffix_ard,,,,,,,,,
Suffix_ards,Suffix_ards,Suffix_ard,Suffix_s,Last_Suffix_s,,,,,,,
Suffix_arian,Suffix_arian,Suffix_ar,Suffix_ian,Last_Suffix_ian,,,,,,,
Suffix_arians,Suffix_arians,Suffix_ar,Suffix_ian,Suffix_ians,Suffix_s,Last_Suffix_s,,,,,
Suffix_aries,Suffix_aries,Suffix_ary,Suffix_ies,Suffix_es,Suffix_s,Last_Suffix_s,,,,,
Suffix_ariness,Suffix_ariness,Suffix_ary,Suffix_ness,Last_Suffix_ness,,,,,,,
Suffix_arity,Suffix_arity,Suffix_ar,Suffix_ity,Last_Suffix_ity,,,,,,,
Suffix_arium,Suffix_arium,Suffix_ar,Suffix_ium,Last_Suffix_ium,,,,,,,
Suffix_ary,Suffix_ary,Last_Suffix_ary,,,,,,,,,
Suffix_ast,Suffix_ast,Last_Suffix_ast,,,,,,,,,
Suffix_astic,Suffix_astic,Suffix_ast,Suffix_ic,Last_Suffix_ic,,,,,,,
Suffix_astical,Suffix_astical,Suffix_astic,Suffix_ast,Suffix_ic,Suffix_al,Last_Suffix_al,,,,,
Suffix_astically,Suffix_astically,Suffix_astic,Suffix_ast,Suffix_ic,Suffix_ally,Suffix_al,Suffix_ly,Last_Suffix_ly,,,
Suffix_asticism,Suffix_asticism,Suffix_astic,Suffix_ast,Suffix_ic,Suffix_ism,Last_Suffix_ism,,,,,
Suffix_asticize,Suffix_asticize,Suffix_astic,Suffix_ast,Suffix_ic,Suffix_ize,Last_Suffix_ize,,,,,
Suffix_ate,Suffix_ate,Last_Suffix_ate,,,,,,,,,
Suffix_ated,Suffix_ated,Suffix_ate,Suffix_d,Last_Suffix_d,,,,,,,
Suffix_ately,Suffix_ately,Suffix_ate,Suffix_ly,Last_Suffix_ly,,,,,,,
Suffix_ateness,Suffix_ateness,Suffix_ate,Suffix_ness,Last_Suffix_ness,,,,,,,
Suffix_ater,Suffix_ater,Suffix_ate,Suffix_r,Last_Suffix_r,,,,,,,
Suffix_ates,Suffix_ates,Suffix_ate,Suffix_s,Last_Suffix_s,,,,,,,
Suffix_atic,Suffix_atic,Last_Suffix_atic,,,,,,,,,
Suffix_atical,Suffix_atical,Suffix_atic,Suffix_al,Last_Suffix_al,,,,,,,
Suffix_atically,Suffix_atically,Suffix_atic,Suffix_al,Suffix_ally,Suffix_ly,Last_Suffix_ly,,,,,
Suffix_ating,Suffix_ating,Suffix_ate,Suffix_ing,Last_Suffix_ing,,,,,,,
Suffix_atings,Suffix_atings,Suffix_ate,Suffix_ing,Suffix_s,Last_Suffix_s,,,,,,
Suffix_ation,Suffix_ation,Last_Suffix_ation,,,,,,,,,
Suffix_ational,Suffix_ational,Suffix_ation,Suffix_al,Last_Suffix_al,,,,,,,
Suffix_ationalist,Suffix_ationalist,Suffix_ational,Suffix_ation,Suffix_al,Suffix_alist,Suffix_ist,Last_Suffix_ist,,,,
Suffix_ationally,Suffix_ationally,Suffix_ation,Suffix_al,Suffix_ally,Suffix_ly,Last_Suffix_ly,,,,,
Suffix_ationist,Suffix_ationist,Suffix_ation,Suffix_ist,Last_Suffix_ist,,,,,,,
Suffix_ationistic,Suffix_ationistic,Suffix_ation,Suffix_ist,Suffix_istic,Suffix_ic,Last_Suffix_ic,,,,,
